日付,競馬場,レース番号,馬券種別,枠番,倍率,購入金額,的中,払い戻し,収支(Total),収支(税務上),収支差
2025/06/10,水沢,5R,馬連,01–02,-1.0,600,False,0,-¥600,¥0,-600
2025/06/10,水沢,5R,馬連,01–03,-1.0,600,False,0,-¥600,¥0,-600
2025/06/10,笠松,8R,複勝,2,-1.0,600,False,0,-¥600,¥0,-600
2025/06/10,笠松,8R,ワイド,01–02,-1.0,500,False,0,-¥500,¥0,-500
2025/06/10,笠松,8R,ワイド,02–03,-1.0,500,False,0,-¥500,¥0,-500
2025/06/10,水沢,9R,複勝,1,1.0,200,True,200,¥0,¥0,0
2025/06/10,水沢,9R,ワイド,01–02,4.6,200,True,920,¥720,¥720,720
2025/06/10,水沢,9R,ワイド,01–03,-1.0,400,False,0,-¥400,¥0,-400
2025/06/10,門別,6R,複勝,3,1.0,200,True,200,¥0,¥0,0
2025/06/10,門別,6R,複勝,5,-1.0,100,False,0,-¥100,¥0,-100
2025/06/10,門別,6R,馬連,02–03,3.0,400,True,1200,¥800,¥800,800
2025/06/10,門別,6R,ワイド,02–05,-1.0,200,False,0,-¥200,¥0,-200
2025/06/10,金沢,10R,馬連,01–03,-1.0,200,False,0,-¥200,¥0,-200
2025/06/10,金沢,10R,ワイド,01–02,-1.0,100,False,0,-¥100,¥0,-100
2025/06/10,金沢,10R,複勝,2,-1.0,100,False,0,-¥100,¥0,-100
2025/06/11,園田,1R,複勝,10,1.3,300,False,0,-¥300,¥0,-300
2025/06/11,園田,1R,ワイド,09–10,2.4,200,False,0,-¥200,¥0,-200
2025/06/11,園田,1R,馬連,04–10,4.1,100,False,0,-¥100,¥0,-100
2025/06/11,園田,1R,三連複,04–09–10,6.2,100,False,0,-¥100,¥0,-100
2025/06/11,園田,2R,単勝,1,3.9,300,True,1170,¥870,¥870,870
2025/06/11,園田,2R,単勝,4,6.6,200,False,0,-¥200,¥0,-200
2025/06/11,園田,2R,ワイド,01–04,1.0,200,True,200,¥0,¥0,0
2025/06/11,園田,2R,馬連,01–04,11.5,100,False,0,-¥100,¥0,-100
2025/06/11,園田,2R,三連複,01–02–04,4.6,100,False,0,-¥100,¥0,-100
2025/06/11,園田,2R,単勝,2,7.2,100,False,0,-¥100,¥0,-100
2025/06/11,園田,2R,三連単,01→04→02,31.9,200,False,0,-¥200,¥0,-200
2025/06/11,園田,4R,複勝,1,1.0,200,False,0,-¥200,¥0,-200
2025/06/11,園田,4R,ワイド,01–02,3.6,100,False,0,-¥100,¥0,-100
2025/06/11,園田,4R,馬連,01–09,11.0,100,False,0,-¥100,¥0,-100
2025/06/11,園田,4R,三連複,01–02–09,18.1,200,False,0,-¥200,¥0,-200
2025/06/11,園田,5R,複勝,6,1.0,200,True,200,¥0,¥0,0
2025/06/11,園田,5R,ワイド,06–11,2.0,200,True,400,¥200,¥200,200
2025/06/11,園田,5R,馬連,06–12,6.0,100,False,0,-¥100,¥0,-100
2025/06/11,園田,5R,三連複,06–11–12,6.5,100,True,650,¥550,¥550,550
2025/06/11,園田,5R,三連単,06→11→12,48.6,100,False,0,-¥100,¥0,-100
2025/06/11,大井,1R,複勝,4,1.5,300,True,450,¥150,¥150,150
2025/06/11,大井,1R,複勝,9,1.7,200,False,0,-¥200,¥0,-200
2025/06/11,大井,1R,ワイド,04－09,6.0,200,False,0,-¥200,¥0,-200
2025/06/11,大井,1R,ワイド,04－11,5.5,200,False,0,-¥200,¥0,-200
2025/06/11,大井,1R,馬連,04－09,11.6,200,False,0,-¥200,¥0,-200
2025/06/11,大井,1R,三連複,01－04－09,23.9,100,False,0,-¥100,¥0,-100
2025/06/11,大井,1R,三連複,04－09－11,33.4,100,False,0,-¥100,¥0,-100
2025/06/11,笠松,8R,複勝,4,1.4,200,False,0,-¥200,¥0,-200
2025/06/11,笠松,8R,ワイド,04-09,3.3,100,False,0,-¥100,¥0,-100
2025/06/11,笠松,8R,三連複,02-04-09,16.0,100,False,0,-¥100,¥0,-100
2025/06/14,函館,9R,単勝,1,4.4,200,False,0,-¥200,¥0,-200
2025/06/14,函館,9R,複勝,1,1.4,200,False,0,-¥200,¥0,-200
2025/06/14,函館,9R,複勝,12,1.6,100,True,160,¥60,¥60,60
2025/06/14,函館,9R,ワイド,01-08,3.8,100,False,0,-¥100,¥0,-100
